domain,agents,epsilon,shock,seed,CCI,survival_rate,hazard,collapse_risk,preregistered,CCI_mean,CCI_ci_lo,CCI_ci_hi,cci_ci,survival_rate_mean,survival_rate_ci_lo,survival_rate_ci_hi,survival_ci
cosmic,500,0.008,0.2,701,0.5014992124244568,0.7906597939720248,0.3032003672578716,0.45201948822084453,True,0.5009933535868333,0.5001566124183977,0.5014992124244568,1,0.7899419499027077,0.7895037627045292,0.7906597939720248,1
cosmic,500,0.008,0.2,702,0.5013242359176451,0.7896622930315689,0.30548553849044674,0.44666272048229644,True,0.5009933535868333,0.5001566124183977,0.5014992124244568,1,0.7899419499027077,0.7895037627045292,0.7906597939720248,1
cosmic,500,0.008,0.2,703,0.5001566124183977,0.7895037627045292,0.3053263932476378,0.4709260811489463,True,0.5009933535868333,0.5001566124183977,0.5014992124244568,1,0.7899419499027077,0.7895037627045292,0.7906597939720248,1
cosmic,500,0.009,0.1,701,0.5261658763133461,0.8055264595275805,0.29576703448009367,0.4490435718764966,True,0.5256600174757224,0.5248232763072869,0.5261658763133461,1,0.8048086154582633,0.8043704282600849,0.8055264595275805,1
cosmic,500,0.009,0.1,702,0.5259908998065345,0.8045289585871245,0.29805220571266894,0.4436840762149031,True,0.5256600174757224,0.5248232763072869,0.5261658763133461,1,0.8048086154582633,0.8043704282600849,0.8055264595275805,1
cosmic,500,0.009,0.1,703,0.5248232763072869,0.8043704282600849,0.2978930604698599,0.46808341051972235,True,0.5256600174757224,0.5248232763072869,0.5261658763133461,1,0.8048086154582633,0.8043704282600849,0.8055264595275805,1
cosmic,500,0.009,0.2,701,0.5181658763133461,0.7973264595275805,0.2998670344800937,0.4506959697894157,True,0.5176600174757224,0.516823276307287,0.5181658763133461,1,0.7966086154582633,0.7961704282600849,0.7973264595275805,1
cosmic,500,0.009,0.2,702,0.5179908998065345,0.7963289585871245,0.302152205712669,0.44533771152640156,True,0.5176600174757224,0.516823276307287,0.5181658763133461,1,0.7966086154582633,0.7961704282600849,0.7973264595275805,1
cosmic,500,0.009,0.2,703,0.516823276307287,0.7961704282600849,0.3019930604698599,0.46966240553030636,True,0.5176600174757224,0.516823276307287,0.5181658763133461,1,0.7966086154582633,0.7961704282600849,0.7973264595275805,1
cosmic,500,0.01,0.1,701,0.5428325402022355,0.8121931250831363,0.2924337017023158,0.44767982880577933,True,0.5423266813646118,0.5414899401961764,0.5428325402022355,1,0.811475281013819,0.8110370938156407,0.8121931250831363,1
cosmic,500,0.01,0.1,702,0.5426575636954237,0.8111956241426803,0.294718872934891,0.4423198331592151,True,0.5423266813646118,0.5414899401961764,0.5428325402022355,1,0.811475281013819,0.8110370938156407,0.8121931250831363,1
cosmic,500,0.01,0.1,703,0.5414899401961764,0.8110370938156406,0.294559727692082,0.46677915046313617,True,0.5423266813646118,0.5414899401961764,0.5428325402022355,1,0.811475281013819,0.8110370938156407,0.8121931250831363,1
cosmic,500,0.01,0.2,701,0.5348325402022355,0.8039931250831363,0.29653370170231586,0.44935463657287783,True,0.5343266813646119,0.5334899401961763,0.5348325402022355,1,0.8032752810138191,0.8028370938156405,0.8039931250831364,1
cosmic,500,0.01,0.2,702,0.5346575636954238,0.8029956241426803,0.29881887293489107,0.44399532096563366,True,0.5343266813646119,0.5334899401961763,0.5348325402022355,1,0.8032752810138191,0.8028370938156405,0.8039931250831364,1
cosmic,500,0.01,0.2,703,0.5334899401961763,0.8028370938156405,0.29865972769208204,0.46838076833599873,True,0.5343266813646119,0.5334899401961763,0.5348325402022355,1,0.8032752810138191,0.8028370938156405,0.8039931250831364,1
cosmic,500,0.011,0.1,701,0.5594992040911247,0.8188597906386921,0.289100368924538,0.4462974498300192,True,0.5589933452535013,0.5581566040850657,0.5594992040911247,1,0.8181419465693748,0.8177037593711964,0.8188597906386921,1
cosmic,500,0.011,0.1,702,0.5593242275843132,0.817862289698236,0.29138554015711315,0.4409374281727893,True,0.5589933452535013,0.5581566040850657,0.5594992040911247,1,0.8181419465693748,0.8177037593711964,0.8188597906386921,1
cosmic,500,0.011,0.1,703,0.5581566040850657,0.8177037593711964,0.29122639491430413,0.46545605343898927,True,0.5589933452535013,0.5581566040850657,0.5594992040911247,1,0.8181419465693748,0.8177037593711964,0.8188597906386921,1
cosmic,500,0.011,0.2,701,0.5514992040911249,0.810659790638692,0.29320036892453794,0.4479951264490224,True,0.5509933452535013,0.5501566040850657,0.5514992040911249,1,0.8099419465693748,0.8095037593711963,0.810659790638692,1
cosmic,500,0.011,0.2,702,0.5513242275843132,0.809662289698236,0.2954855401571132,0.4426352045213084,True,0.5509933452535013,0.5501566040850657,0.5514992040911249,1,0.8099419465693748,0.8095037593711963,0.810659790638692,1
cosmic,500,0.011,0.2,703,0.5501566040850657,0.8095037593711963,0.2953263949143042,0.4670807838727946,True,0.5509933452535013,0.5501566040850657,0.5514992040911249,1,0.8099419465693748,0.8095037593711963,0.810659790638692,1
